31.44.225.226 - - "2017-02-08 01:43:04" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "GigablastOpenSource/1.0"
66.249.64.79 bot - "2017-02-08 02:04:24" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/47/44 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.85 bot - "2017-02-08 03:57:47" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/25 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.79 bot - "2017-02-08 04:02:43" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.79 bot - "2017-02-08 04:10:35" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.85 bot - "2017-02-08 04:13:23" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/22 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.85 bot - "2017-02-08 05:15:39" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
95.28.180.251 - - "2017-02-08 07:58:13" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
95.221.211.58 - - "2017-02-08 08:59:53" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16"
66.249.64.79 bot - "2017-02-08 10:12:54" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/12 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.18 bot - "2017-02-08 14:44:10" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.212 bot - "2017-02-08 15:44:49" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/17/14 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
181.224.244.82 - - "2017-02-08 16:18:33" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
181.224.244.82 - - "2017-02-08 16:19:08" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
66.249.66.208 bot - "2017-02-08 16:28:28" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/26/23 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
200.37.235.133 - - "2017-02-08 16:36:24" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/16 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
200.37.235.133 - - "2017-02-08 16:36:43" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/16 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
181.224.244.82 - - "2017-02-08 17:08:29" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
181.224.244.82 - - "2017-02-08 17:11:23" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
190.117.65.67 - - "2017-02-08 18:09:27" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/30/27 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
190.117.65.67 - - "2017-02-08 18:16:43" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/30/27 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
190.117.65.67 - - "2017-02-08 18:18:44" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
66.249.66.212 bot - "2017-02-08 20:29:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/12 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.212 bot - "2017-02-08 21:32:46" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/13 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
