190.37.53.144 - - "2018-02-21 00:14:18" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/84 200 "Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
54.210.173.210 - - "2018-02-21 00:29:19" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 00:30:55" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 00:47:55" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 00:50:26" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/5 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 00:51:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/44/41 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 00:52:45" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/5 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
191.100.56.160 - - "2018-02-21 00:54:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"
191.100.56.160 - - "2018-02-21 00:54:53" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/50/47 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"
191.100.56.160 - - "2018-02-21 00:54:58" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/50/47 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"
191.100.56.160 - - "2018-02-21 00:59:33" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"
54.210.173.210 - - "2018-02-21 01:18:16" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/5 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:18:46" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/4 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:19:16" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/3 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:19:46" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/1 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
201.240.87.155 - - "2018-02-21 01:19:55" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/39/36 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
54.210.173.210 - - "2018-02-21 01:20:17" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/2 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:45:29" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/59 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:46:29" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/48 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:47:29" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/3 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:48:32" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/79 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:49:33" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/34 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:50:33" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/36 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:51:33" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/28 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:52:34" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/43 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:53:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/42 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:54:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/44 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 01:59:07" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/51 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:00:08" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/52 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:02:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/4 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:03:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/7 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 02:04:12" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/24 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
