181.233.204.143 - - "2019-04-09 01:00:33" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/48 200 "Mozilla/5.0 (Windows NT 6.1; rv:59.0) Gecko/20100101 Firefox/59.0"
66.249.64.77 bot - "2019-04-09 01:35:04" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/87/71 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
190.102.151.232 - - "2019-04-09 01:38:18" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/95 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36"
132.157.66.192 - - "2019-04-09 01:53:26" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/41/38 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
132.157.66.192 - - "2019-04-09 02:13:42" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/41/38 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36"
46.229.168.138 - - "2019-04-09 02:40:04" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/9 200 "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"
46.229.168.161 - - "2019-04-09 02:54:36" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/104 200 "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)"
181.67.226.135 - - "2019-04-09 02:55:45" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/91/75 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36"
207.46.13.165 bot - "2019-04-09 03:51:08" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/8 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.75 bot - "2019-04-09 03:57:27" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/13 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.128 bot - "2019-04-09 03:58:20" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/26 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
181.176.99.161 - - "2019-04-09 04:05:14" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/73/60 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36"
187.216.232.157 - - "2019-04-09 04:11:09" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/100/84 200 "Mozilla/5.0 (Linux; Android 9; SM-A920F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36"
40.77.167.58 bot - "2019-04-09 04:16:36" https://revistas.ujcm.edu.pe/index.php/rctd/issue/view/5 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.77 bot - "2019-04-09 04:45:50" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/97/81 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.228.207.188 - - "2019-04-09 04:51:33" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/6 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:51:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/54 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:52:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/103 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:52:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/22 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:52:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/84 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:52:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:53:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/17 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:53:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/79 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:53:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/33 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:53:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/49 200 "com.plumanalytics"
66.249.64.75 bot - "2019-04-09 04:53:58" https://revistas.ujcm.edu.pe/index.php/rctd/article/download/98/82 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
34.228.207.188 - - "2019-04-09 04:54:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/44 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:54:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/12 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:54:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/28 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:54:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/91 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:55:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/7 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:55:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/55 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:55:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/23 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:55:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/85 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:56:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/39 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:56:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "com.plumanalytics"
66.249.64.73 bot - "2019-04-09 04:56:20" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/98 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
34.228.207.188 - - "2019-04-09 04:56:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/99 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:56:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/18 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/80 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/34 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/97 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:57:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/13 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/29 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/92 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/8 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:58:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/24 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/40 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/56 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/51 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 04:59:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/100 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/19 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/81 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/35 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:00:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/98 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/14 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/30 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/93 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:01:47" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/73 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:02:02" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/25 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:02:17" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/57 200 "com.plumanalytics"
34.228.207.188 - - "2019-04-09 05:02:32" https://revistas.ujcm.edu.pe/index.php/rctd/article/view/88 200 "com.plumanalytics"
